0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:30 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:30 +0530] "GET /FashionWheel/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:30 +0530] "GET /FashionWheel/resources/css/Top1brand.css HTTP/1.1" 200 61554
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:30 +0530] "GET /FashionWheel/resources/css/luxbootstrapthem.css HTTP/1.1" 200 159680
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/resources/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/resources/js/bootstrap.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/js/waypoints.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:31 +0530] "GET /FashionWheel/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/js/counterup.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/bootstrap.bundle.min.js HTTP/1.1" 200 67742
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/fas3.jpg HTTP/1.1" 200 46354
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/fas4.jpg HTTP/1.1" 200 47098
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery.validate.js HTTP/1.1" 200 48696
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/amz1.jpg HTTP/1.1" 200 42442
